station-id,direction,lat,long,installed
12-PA-SCH,Schwedter Steg,52.5491,13.4004,2012-03-01T00:00
02-MI-JAN-N,Jannowitzbrücke Nord,52.5139,13.4178,2015-04-01T00:00
02-MI-JAN-S,Jannowitzbrücke Süd,52.5139,13.4176,2015-04-01T00:00
13-CW-PRI,Prinzregentenstraße,52.4881,13.3331,2015-04-01T00:00
18-TS-YOR-O,Yorckstraße Ost,52.4919,13.3735,2015-04-01T00:00
18-TS-YOR-W,Yorkstraße West,52.4923,13.3732,2015-04-01T00:00
19-TS-MON,Monumentenstraße,52.4881,13.3698,2015-05-01T00:00
27-RE-MAR,Markstraße,52.5582,13.3649,2015-05-01T00:00
03-MI-SAN-O,Invalidenstraße Ost,52.5272,13.372,2015-06-01T00:00
03-MI-SAN-W,Invalidenstraße West,52.5277,13.3731,2015-06-01T00:00
05-FK-OBB-O,Oberbaumbrücke Ost,52.5012,13.4451,2015-06-01T00:00
05-FK-OBB-W,Oberbaumbrücke West,52.5013,13.4449,2015-06-01T00:00
26-LI-PUP,Paul-und-Paula-Uferweg,52.5003,13.4743,2015-06-01T00:00
24-MH-ALB,Alberichstraße,52.4925,13.5585,2015-07-01T00:00
10-PA-BER-N,Berliner Straße Nord,52.5669,13.4125,2016-05-01T00:00
10-PA-BER-S,Berliner Straße Süd,52.5668,13.4122,2016-05-01T00:00
15-SP-KLO-S,Klosterstraße Süd,52.5333,13.1985,2016-05-01T00:00
15-SP-KLO-N,Klosterstraße Nord,52.5335,13.1991,2016-06-01T00:00
17-SK-BRE-O,Breitenbachplatz Ost,52.4668,13.3092,2016-05-01T00:00
17-SK-BRE-W,Breitenbachplatz West,52.4672,13.3084,2016-05-01T00:00
20-TS-MAR-N,Mariendorfer Damm Nord,52.4385,13.388,2016-05-01T00:00
20-TS-MAR-S,Mariendorfer Damm Süd,52.4381,13.3878,2016-05-01T00:00
21-NK-MAY,Maybachufer,52.493,13.4297,2016-05-01T00:00
23-TK-KAI,Kaisersteg,52.4573,13.5187,2016-05-01T00:00
06-FK-FRA-O,Frankfurter Allee Ost,52.5136,13.4742,2016-06-01T00:00
06-FK-FRA-W,Frankfurter Allee West,52.5138,13.4744,2016-06-01T00:00
14-CW-JU-W,Straße des 17. Juni West,52.5131,13.3268,2021-07-27T00:00
14-CW-JU-O,Straße des 17. Juni Ost,52.5126,13.3266,2021-07-27T00:00
01-MI-AL-W,Karl-Marx-Allee,52.5219,13.4175,2021-12-16T00:00
11-PA-SE-N,Senefelder Platz Nord,52.5314,13.4124,2022-10-06T00:00
04-MI-NO,Nordufer,52.5139,13.4179,2023-10-16T00:00
16-SP-NO-O,Nonnendammallee Ost,52.5379,13.2479,2023-11-22T00:00
16-SP-NO-W,Nonnendammallee West,52.5384,13.247,2023-11-22T00:00
07-FK-ST,Strausberger Platz,52.5189,13.4261,2024-04-22T00:00
09-PA-SA-S,Schönhauser Allee,52.543,13.4121,2024-04-22T00:00
